level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	650	488	-1	
2	1	1	0	0	0	172	83	316	310	-1	
3	1	1	1	0	0	172	83	316	310	-1	
4	1	1	1	1	0	172	83	316	31	-1	
5	1	1	1	1	1	172	86	49	16	36.181450	wren
5	1	1	1	1	2	284	83	26	31	88.990578	GJ
5	1	1	1	1	3	438	88	50	17	13.927048	ieee
4	1	1	1	2	0	195	351	251	42	-1	
5	1	1	1	2	1	195	351	251	42	38.014160	Cl.
